source_doc,eval_type,eval_method,variant,score,duration
10,Graph-based,AutoSummENG,consecutively_swapped_words_0.5,0.625439,3.955317735671997
10,Graph-based,MeMoG,consecutively_swapped_words_0.5,0.625439,3.955317735671997
10,Meta,NPowER,consecutively_swapped_words_0.5,0.577512,3.955317735671997
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9708583354949951,0.41596198081970215
10,N-gram,Rouge1,consecutively_swapped_words_0.7,1.0,0.0
10,N-gram,Rouge2,consecutively_swapped_words_0.7,0.7608471074380165,0.020937442779541016
10,Graph-based,AutoSummENG,consecutively_swapped_words_0.7,0.602113,4.136892557144165
10,Graph-based,MeMoG,consecutively_swapped_words_0.7,0.602113,4.136892557144165
10,Meta,NPowER,consecutively_swapped_words_0.7,0.558161,4.136892557144165
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.9449986219406128,0.4140486717224121
10,N-gram,Rouge1,consecutively_swapped_words_0.9,1.0,0.010091781616210938
10,N-gram,Rouge2,consecutively_swapped_words_0.9,0.7329545454545454,0.009002447128295898
10,Graph-based,AutoSummENG,consecutively_swapped_words_0.9,0.587666,4.321513414382935
10,Graph-based,MeMoG,consecutively_swapped_words_0.9,0.587666,4.321513414382935
10,Meta,NPowER,consecutively_swapped_words_0.9,0.546176,4.321513414382935
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.9293015599250793,0.4105374813079834
10,N-gram,Rouge1,deleted_words_0.1,0.9409513395297977,0.00890493392944336
10,N-gram,Rouge2,deleted_words_0.1,0.8834792122538292,0.009270906448364258
10,Graph-based,AutoSummENG,deleted_words_0.1,0.646609,3.6307411193847656
10,Graph-based,MeMoG,deleted_words_0.1,0.646609,3.6307411193847656
10,Meta,NPowER,deleted_words_0.1,0.595074,3.6307411193847656
10,Embeddings-based,BERTScore,deleted_words_0.1,0.8357121348381042,0.3955538272857666
10,N-gram,Rouge1,deleted_words_0.3,0.8178211779066219,0.0
10,N-gram,Rouge2,deleted_words_0.3,0.6919083969465649,0.01656508445739746
10,Graph-based,AutoSummENG,deleted_words_0.3,0.489558,3.3090951442718506
