source_doc,type,method,variant,score
102,Graph-based,AutoSummENG,deleted_words,0.848259
102,Graph-based,MeMoG,deleted_words,0.848259
102,Graph-based,NPowER,deleted_words,0.762358
102,Embeddings-based,BERTScore,deleted_words,0.966283917427063
102,N-gram,Rouge1,inserted_sentence,0.7142857142857143
102,N-gram,Rouge2,inserted_sentence,0.6153846153846153
102,Graph-based,AutoSummENG,inserted_sentence,0.937923
102,Graph-based,MeMoG,inserted_sentence,0.937923
102,Graph-based,NPowER,inserted_sentence,0.836742
102,Embeddings-based,BERTScore,inserted_sentence,0.9728125929832458
102,N-gram,Rouge1,removed_sentence,0.6666666666666666
102,N-gram,Rouge2,removed_sentence,0.56
102,Graph-based,AutoSummENG,removed_sentence,0.923866
102,Graph-based,MeMoG,removed_sentence,0.923866
102,Graph-based,NPowER,removed_sentence,0.825080
102,Embeddings-based,BERTScore,removed_sentence,0.9728125929832458
102,N-gram,Rouge1,repeated_sentence,0.7142857142857143
102,N-gram,Rouge2,repeated_sentence,0.6153846153846153
102,Graph-based,AutoSummENG,repeated_sentence,0.644628
102,Graph-based,MeMoG,repeated_sentence,0.644628
102,Graph-based,NPowER,repeated_sentence,0.593430
102,Embeddings-based,BERTScore,repeated_sentence,0.9728125929832458
102,N-gram,Rouge1,shuffled_words,1.0
102,N-gram,Rouge2,shuffled_words,0.26666666666666666
102,Graph-based,AutoSummENG,shuffled_words,0.708172
102,Graph-based,MeMoG,shuffled_words,0.708172
102,Graph-based,NPowER,shuffled_words,0.646146
102,Embeddings-based,BERTScore,shuffled_words,0.7843508124351501
102,N-gram,Rouge1,100_1,0.43478260869565216
102,N-gram,Rouge2,100_1,0.09523809523809522
102,Graph-based,AutoSummENG,100_1,0.451686
102,Graph-based,MeMoG,100_1,0.451686
102,Graph-based,NPowER,100_1,0.433370
102,Embeddings-based,BERTScore,100_1,0.7397146821022034
102,N-gram,Rouge1,101_1,0.5714285714285715
102,N-gram,Rouge2,101_1,0.0
102,Graph-based,AutoSummENG,101_1,0.474392
102,Graph-based,MeMoG,101_1,0.474392
102,Graph-based,NPowER,101_1,0.452206
102,Embeddings-based,BERTScore,101_1,0.7879950404167175
102,N-gram,Rouge1,103_1,0.42857142857142855
102,N-gram,Rouge2,103_1,0.23076923076923075
102,Graph-based,AutoSummENG,103_1,0.406256
102,Graph-based,MeMoG,103_1,0.406256
102,Graph-based,NPowER,103_1,0.395682
102,Embeddings-based,BERTScore,103_1,0.7612802982330322
102,N-gram,Rouge1,105_1,0.42424242424242425
102,N-gram,Rouge2,105_1,0.19354838709677422
102,Graph-based,AutoSummENG,105_1,0.422733
102,Graph-based,MeMoG,105_1,0.422733
102,Graph-based,NPowER,105_1,0.409351
102,Embeddings-based,BERTScore,105_1,0.7896089553833008
102,N-gram,Rouge1,106_1,0.4375
102,N-gram,Rouge2,106_1,0.26666666666666666
102,Graph-based,AutoSummENG,106_1,0.427755
102,Graph-based,MeMoG,106_1,0.427755
102,Graph-based,NPowER,106_1,0.413517
102,Embeddings-based,BERTScore,106_1,0.7506594657897949
102,N-gram,Rouge1,107_1,0.5142857142857142
102,N-gram,Rouge2,107_1,0.303030303030303
102,Graph-based,AutoSummENG,107_1,0.379509
102,Graph-based,MeMoG,107_1,0.379509
102,Graph-based,NPowER,107_1,0.373493
102,Embeddings-based,BERTScore,107_1,0.7556106448173523
102,N-gram,Rouge1,108_1,0.48484848484848486
102,N-gram,Rouge2,108_1,0.3225806451612903
102,Graph-based,AutoSummENG,108_1,0.512180
102,Graph-based,MeMoG,108_1,0.512180
102,Graph-based,NPowER,108_1,0.483555
102,Embeddings-based,BERTScore,108_1,0.79754638671875
102,N-gram,Rouge1,10_1,0.56
102,N-gram,Rouge2,10_1,0.26086956521739135
102,Graph-based,AutoSummENG,10_1,0.484271
102,Graph-based,MeMoG,10_1,0.484271
102,Graph-based,NPowER,10_1,0.460402
102,Embeddings-based,BERTScore,10_1,0.7890893816947937
102,N-gram,Rouge1,110_1,0.411764705882353
102,N-gram,Rouge2,110_1,0.18750000000000003
102,Graph-based,AutoSummENG,110_1,0.324596
102,Graph-based,MeMoG,110_1,0.324596
102,Graph-based,NPowER,110_1,0.327938
102,Embeddings-based,BERTScore,110_1,0.7587454915046692
102,N-gram,Rouge1,111_1,0.5882352941176471
102,N-gram,Rouge2,111_1,0.37500000000000006
102,Graph-based,AutoSummENG,111_1,0.450815
102,Graph-based,MeMoG,111_1,0.450815
102,Graph-based,NPowER,111_1,0.432647
102,Embeddings-based,BERTScore,111_1,0.7556489109992981
103,N-gram,Rouge1,source,1.0
103,N-gram,Rouge2,source,1.0
103,Graph-based,AutoSummENG,source,1.000000
103,Graph-based,MeMoG,source,1.000000
103,Graph-based,NPowER,source,0.888240
103,Embeddings-based,BERTScore,source,1.0
103,N-gram,Rouge1,deleted_words,1.0
103,N-gram,Rouge2,deleted_words,1.0
103,Graph-based,AutoSummENG,deleted_words,0.845245
103,Graph-based,MeMoG,deleted_words,0.845245
103,Graph-based,NPowER,deleted_words,0.759858
103,Embeddings-based,BERTScore,deleted_words,0.961021900177002
103,N-gram,Rouge1,inserted_sentence,1.0
103,N-gram,Rouge2,inserted_sentence,1.0
103,Graph-based,AutoSummENG,inserted_sentence,0.934411
103,Graph-based,MeMoG,inserted_sentence,0.934411
103,Graph-based,NPowER,inserted_sentence,0.833828
103,Embeddings-based,BERTScore,inserted_sentence,0.966062605381012
103,N-gram,Rouge1,removed_sentence,1.0
103,N-gram,Rouge2,removed_sentence,1.0
103,Graph-based,AutoSummENG,removed_sentence,0.783895
103,Graph-based,MeMoG,removed_sentence,0.783895
103,Graph-based,NPowER,removed_sentence,0.708964
103,Embeddings-based,BERTScore,removed_sentence,0.9212015271186829
103,N-gram,Rouge1,repeated_sentence,0.5454545454545454
103,N-gram,Rouge2,repeated_sentence,0.5238095238095238
103,Graph-based,AutoSummENG,repeated_sentence,0.924805
103,Graph-based,MeMoG,repeated_sentence,0.924805
103,Graph-based,NPowER,repeated_sentence,0.825859
103,Embeddings-based,BERTScore,repeated_sentence,0.966062605381012
103,N-gram,Rouge1,shuffled_words,1.0
103,N-gram,Rouge2,shuffled_words,0.45454545454545453
103,Graph-based,AutoSummENG,shuffled_words,0.723989
103,Graph-based,MeMoG,shuffled_words,0.723989
103,Graph-based,NPowER,shuffled_words,0.659267
103,Embeddings-based,BERTScore,shuffled_words,0.7976070046424866
103,N-gram,Rouge1,100_1,0.3157894736842105
103,N-gram,Rouge2,100_1,0.0
103,Graph-based,AutoSummENG,100_1,0.542447
103,Graph-based,MeMoG,100_1,0.542447
103,Graph-based,NPowER,100_1,0.508664
103,Embeddings-based,BERTScore,100_1,0.8434030413627625
103,N-gram,Rouge1,101_1,0.16666666666666666
103,N-gram,Rouge2,101_1,0.0
103,Graph-based,AutoSummENG,101_1,0.416959
103,Graph-based,MeMoG,101_1,0.416959
103,Graph-based,NPowER,101_1,0.404561
103,Embeddings-based,BERTScore,101_1,0.8000702261924744
103,N-gram,Rouge1,102_1,0.42857142857142855
